"행정구역","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~9세","2022년_거주자_10~19세","2022년_거주자_20~29세","2022년_거주자_30~39세","2022년_거주자_40~49세","2022년_거주자_50~59세","2022년_거주자_60~69세","2022년_거주자_70~79세","2022년_거주자_80~89세","2022년_거주자_90~99세","2022년_거주자_100세 이상","2022년_남_거주자_총인구수","2022년_남_거주자_연령구간인구수","2022년_남_거주자_0~9세","2022년_남_거주자_10~19세","2022년_남_거주자_20~29세","2022년_남_거주자_30~39세","2022년_남_거주자_40~49세","2022년_남_거주자_50~59세","2022년_남_거주자_60~69세","2022년_남_거주자_70~79세","2022년_남_거주자_80~89세","2022년_남_거주자_90~99세","2022년_남_거주자_100세 이상","2022년_여_거주자_총인구수","2022년_여_거주자_연령구간인구수","2022년_여_거주자_0~9세","2022년_여_거주자_10~19세","2022년_여_거주자_20~29세","2022년_여_거주자_30~39세","2022년_여_거주자_40~49세","2022년_여_거주자_50~59세","2022년_여_거주자_60~69세","2022년_여_거주자_70~79세","2022년_여_거주자_80~89세","2022년_여_거주자_90~99세","2022년_여_거주자_100세 이상"
"강원도  (4200000000)","1,531,134","1,531,134","96,000","132,023","169,771","159,779","214,693","260,487","266,921","137,806","81,393","11,932","329","769,925","769,925","49,139","68,494","95,369","84,608","109,327","134,458","133,512","63,020","29,339","2,596","63","761,209","761,209","46,861","63,529","74,402","75,171","105,366","126,029","133,409","74,786","52,054","9,336","266"
"동해출장소  (4210500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 춘천시 (4211000000)","285,562","285,562","20,028","26,318","37,324","34,256","41,407","46,450","43,022","21,238","13,455","2,009","55","140,888","140,888","10,225","13,622","19,981","17,669","20,350","23,372","20,834","9,428","4,901","491","15","144,674","144,674","9,803","12,696","17,343","16,587","21,057","23,078","22,188","11,810","8,554","1,518","40"
"강원도 원주시 (4213000000)","359,451","359,451","26,423","35,167","43,822","45,281","56,441","61,234","52,029","23,090","13,832","2,081","51","178,078","178,078","13,522","18,091","23,402","23,020","27,724","30,637","25,777","10,508","4,933","456","8","181,373","181,373","12,901","17,076","20,420","22,261","28,717","30,597","26,252","12,582","8,899","1,625","43"
"강원도 강릉시 (4215000000)","210,667","210,667","12,138","17,985","23,751","20,547","30,762","35,992","36,316","20,239","11,138","1,745","54","104,445","104,445","6,285","9,421","13,074","10,926","15,536","18,290","17,371","9,116","4,055","364","7","106,222","106,222","5,853","8,564","10,677","9,621","15,226","17,702","18,945","11,123","7,083","1,381","47"
"강원도 동해시 (4217000000)","89,087","89,087","5,828","8,441","8,911","8,384","13,795","15,552","15,022","8,221","4,332","589","12","45,232","45,232","2,988","4,405","5,224","4,550","7,153","8,144","7,300","3,732","1,621","112","3","43,855","43,855","2,840","4,036","3,687","3,834","6,642","7,408","7,722","4,489","2,711","477","9"
"강원도 태백시 (4219000000)","39,297","39,297","2,007","3,556","3,207","2,970","5,748","6,828","7,664","4,773","2,326","212","6","19,806","19,806","1,074","1,848","1,846","1,599","3,011","3,683","3,800","2,096","819","29","1","19,491","19,491","933","1,708","1,361","1,371","2,737","3,145","3,864","2,677","1,507","183","5"
"강원도 속초시 (4221000000)","82,444","82,444","5,397","7,048","8,624","9,089","11,928","14,921","14,254","6,957","3,615","601","10","40,839","40,839","2,745","3,632","4,866","4,967","5,922","7,352","6,908","3,037","1,293","114","3","41,605","41,605","2,652","3,416","3,758","4,122","6,006","7,569","7,346","3,920","2,322","487","7"
"강원도 삼척시 (4223000000)","63,291","63,291","3,394","5,009","6,728","5,065","8,268","10,690","12,054","7,098","4,289","678","18","32,065","32,065","1,728","2,582","3,792","2,722","4,481","5,849","6,114","3,255","1,404","138","0","31,226","31,226","1,666","2,427","2,936","2,343","3,787","4,841","5,940","3,843","2,885","540","18"
"강원도 홍천군 (4272000000)","67,774","67,774","3,380","4,749","6,113","5,605","7,668","11,667","15,431","7,599","4,841","698","23","34,833","34,833","1,721","2,412","3,676","3,078","4,095","6,164","8,003","3,762","1,759","161","2","32,941","32,941","1,659","2,337","2,437","2,527","3,573","5,503","7,428","3,837","3,082","537","21"
"강원도 횡성군 (4273000000)","46,349","46,349","1,992","3,435","3,405","3,128","4,769","8,205","11,421","5,819","3,624","536","15","23,782","23,782","1,055","1,804","1,962","1,686","2,604","4,342","5,972","2,886","1,371","100","0","22,567","22,567","937","1,631","1,443","1,442","2,165","3,863","5,449","2,933","2,253","436","15"
"강원도 영월군 (4275000000)","37,551","37,551","1,467","2,677","2,957","2,475","4,214","6,825","8,687","4,853","3,015","370","11","19,417","19,417","776","1,470","1,662","1,381","2,257","3,793","4,627","2,285","1,081","82","3","18,134","18,134","691","1,207","1,295","1,094","1,957","3,032","4,060","2,568","1,934","288","8"
"강원도 평창군 (4276000000)","40,855","40,855","1,577","2,702","3,097","2,707","4,814","7,602","9,779","5,198","2,958","408","13","21,098","21,098","776","1,446","1,871","1,461","2,619","4,093","5,146","2,503","1,099","83","1","19,757","19,757","801","1,256","1,226","1,246","2,195","3,509","4,633","2,695","1,859","325","12"
"강원도 정선군 (4277000000)","34,811","34,811","1,439","2,331","2,483","2,488","4,430","6,430","7,948","4,414","2,504","333","11","18,186","18,186","732","1,188","1,476","1,398","2,534","3,659","4,222","2,015","887","72","3","16,625","16,625","707","1,143","1,007","1,090","1,896","2,771","3,726","2,399","1,617","261","8"
"강원도 철원군 (4278000000)","42,165","42,165","2,951","3,408","4,795","4,401","5,135","6,693","7,465","4,377","2,570","360","10","21,813","21,813","1,460","1,801","3,038","2,478","2,692","3,581","3,794","1,960","912","96","1","20,352","20,352","1,491","1,607","1,757","1,923","2,443","3,112","3,671","2,417","1,658","264","9"
"강원도 화천군 (4279000000)","23,332","23,332","1,574","1,657","3,138","2,602","2,493","3,629","4,242","2,181","1,595","211","10","12,533","12,533","818","827","2,086","1,541","1,352","1,954","2,322","1,013","560","55","5","10,799","10,799","756","830","1,052","1,061","1,141","1,675","1,920","1,168","1,035","156","5"
"강원도 양구군 (4280000000)","21,347","21,347","1,552","1,881","2,611","2,389","2,425","3,258","3,813","1,909","1,324","180","5","11,197","11,197","767","939","1,699","1,347","1,294","1,736","2,034","875","461","42","3","10,150","10,150","785","942","912","1,042","1,131","1,522","1,779","1,034","863","138","2"
"강원도 인제군 (4281000000)","32,164","32,164","2,386","2,315","4,025","3,947","3,971","4,963","5,893","2,704","1,693","261","6","17,509","17,509","1,215","1,213","2,754","2,311","2,170","2,663","3,193","1,298","628","60","4","14,655","14,655","1,171","1,102","1,271","1,636","1,801","2,300","2,700","1,406","1,065","201","2"
"강원도 고성군 (4282000000)","27,207","27,207","1,298","1,591","2,594","2,310","3,023","4,701","5,828","3,408","2,126","317","11","14,023","14,023","660","848","1,663","1,296","1,659","2,575","2,999","1,508","738","73","4","13,184","13,184","638","743","931","1,014","1,364","2,126","2,829","1,900","1,388","244","7"
"강원도 양양군 (4283000000)","27,780","27,780","1,169","1,753","2,186","2,135","3,402","4,847","6,053","3,728","2,156","343","8","14,181","14,181","592","945","1,297","1,178","1,874","2,571","3,096","1,743","817","68","0","13,599","13,599","577","808","889","957","1,528","2,276","2,957","1,985","1,339","275","8"
"충청북도  (4300000000)","1,590,524","1,590,524","109,383","145,783","187,957","186,785","235,026","267,030","250,744","123,681","73,699","10,164","272","807,996","807,996","55,928","75,539","104,603","101,185","121,432","137,401","126,487","57,291","25,870","2,210","50","782,528","782,528","53,455","70,244","83,354","85,600","113,594","129,629","124,257","66,390","47,829","7,954","222"
"충청북도 청주시 (4311000000)","847,159","847,159","66,819","84,852","115,304","116,311","135,571","137,238","110,588","49,717","26,915","3,756","88","427,677","427,677","34,114","43,796","63,014","62,224","68,669","68,578","54,393","22,721","9,363","792","13","419,482","419,482","32,705","41,056","52,290","54,087","66,902","68,660","56,195","26,996","17,552","2,964","75"
"충청북도 청주시 상당구 (4311100000)","195,933","195,933","15,396","19,756","23,894","23,864","30,576","33,345","27,831","12,959","7,294","994","24","97,297","97,297","7,795","10,167","12,897","12,277","15,187","16,507","13,844","5,883","2,527","209","4","98,636","98,636","7,601","9,589","10,997","11,587","15,389","16,838","13,987","7,076","4,767","785","20"
"충청북도 청주시 서원구 (4311200000)","190,641","190,641","11,731","19,007","27,486","21,937","28,609","33,297","27,841","12,945","6,846","924","18","95,052","95,052","6,029","9,858","14,943","11,690","14,141","16,415","13,443","5,871","2,461","200","1","95,589","95,589","5,702","9,149","12,543","10,247","14,468","16,882","14,398","7,074","4,385","724","17"
"충청북도 청주시 흥덕구 (4311300000)","267,193","267,193","22,357","26,340","38,884","41,027","43,450","42,759","31,748","13,079","6,546","978","25","135,787","135,787","11,407","13,579","21,135","22,001","22,012","21,399","15,733","6,038","2,275","202","6","131,406","131,406","10,950","12,761","17,749","19,026","21,438","21,360","16,015","7,041","4,271","776","19"
"충청북도 청주시 청원구 (4311400000)","193,392","193,392","17,335","19,749","25,040","29,483","32,936","27,837","23,168","10,734","6,229","860","21","99,541","99,541","8,883","10,192","14,039","16,256","17,329","14,257","11,373","4,929","2,100","181","2","93,851","93,851","8,452","9,557","11,001","13,227","15,607","13,580","11,795","5,805","4,129","679","19"
"충청북도 충주시 (4313000000)","207,674","207,674","12,922","18,163","22,416","22,318","29,728","36,156","35,458","17,830","11,149","1,496","38","105,123","105,123","6,552","9,414","12,815","12,339","15,297","18,488","17,842","8,066","3,970","332","8","102,551","102,551","6,370","8,749","9,601","9,979","14,431","17,668","17,616","9,764","7,179","1,164","30"
"충청북도 제천시 (4315000000)","130,636","130,636","7,510","11,393","14,168","11,830","16,979","23,004","24,722","12,845","7,296","856","33","65,630","65,630","3,852","5,857","7,887","6,359","8,663","11,805","12,357","5,985","2,675","185","5","65,006","65,006","3,658","5,536","6,281","5,471","8,316","11,199","12,365","6,860","4,621","671","28"
"충청북도 보은군 (4372000000)","31,378","31,378","1,226","1,949","2,120","1,900","3,008","5,349","7,556","4,409","3,302","547","12","15,838","15,838","629","1,038","1,281","1,043","1,656","2,933","3,962","2,066","1,109","120","1","15,540","15,540","597","911","839","857","1,352","2,416","3,594","2,343","2,193","427","11"
"충청북도 옥천군 (4373000000)","49,423","49,423","2,134","3,682","3,904","3,363","5,868","8,469","10,775","6,412","4,159","642","15","24,919","24,919","1,113","1,944","2,237","1,741","3,105","4,534","5,579","3,077","1,425","163","1","24,504","24,504","1,021","1,738","1,667","1,622","2,763","3,935","5,196","3,335","2,734","479","14"
"충청북도 영동군 (4374000000)","44,858","44,858","1,805","3,063","3,551","2,712","4,723","7,828","10,107","6,215","4,264","571","19","22,430","22,430","919","1,585","1,995","1,483","2,557","4,219","5,238","2,806","1,493","133","2","22,428","22,428","886","1,478","1,556","1,229","2,166","3,609","4,869","3,409","2,771","438","17"
"충청북도 증평군 (4374500000)","37,152","37,152","2,775","3,402","4,440","4,491","5,538","6,083","5,691","2,858","1,671","201","2","19,324","19,324","1,419","1,774","2,608","2,522","2,982","3,200","2,859","1,332","592","36","0","17,828","17,828","1,356","1,628","1,832","1,969","2,556","2,883","2,832","1,526","1,079","165","2"
"충청북도 진천군 (4375000000)","85,921","85,921","6,999","8,427","9,075","11,146","14,187","13,927","12,042","5,690","3,867","545","16","45,349","45,349","3,638","4,381","5,305","6,230","7,722","7,675","6,266","2,693","1,319","114","6","40,572","40,572","3,361","4,046","3,770","4,916","6,465","6,252","5,776","2,997","2,548","431","10"
"충청북도 괴산군 (4376000000)","36,960","36,960","1,209","1,835","2,351","2,134","3,497","6,773","9,630","5,402","3,608","507","14","19,033","19,033","605","947","1,387","1,198","1,980","3,739","5,142","2,652","1,267","112","4","17,927","17,927","604","888","964","936","1,517","3,034","4,488","2,750","2,341","395","10"
"충청북도 음성군 (4377000000)","91,658","91,658","5,010","7,255","8,743","8,878","13,083","17,076","17,218","8,444","5,167","761","23","48,591","48,591","2,579","3,842","4,981","5,118","7,264","9,470","9,243","4,099","1,834","153","8","43,067","43,067","2,431","3,413","3,762","3,760","5,819","7,606","7,975","4,345","3,333","608","15"
"충청북도 단양군 (4380000000)","27,705","27,705","974","1,762","1,885","1,702","2,844","5,127","6,957","3,859","2,301","282","12","14,082","14,082","508","961","1,093","928","1,537","2,760","3,606","1,794","823","70","2","13,623","13,623","466","801","792","774","1,307","2,367","3,351","2,065","1,478","212","10"
"충청남도  (4400000000)","2,116,457","2,116,457","152,449","202,152","230,634","252,505","325,484","339,791","312,597","173,659","109,651","17,105","430","1,082,549","1,082,549","78,064","104,667","128,093","136,518","172,924","180,271","158,112","80,965","38,834","4,051","50","1,033,908","1,033,908","74,385","97,485","102,541","115,987","152,560","159,520","154,485","92,694","70,817","13,054","380"
"충청남도 천안시 (4413000000)","655,119","655,119","54,210","67,884","91,784","99,183","111,814","104,483","74,178","32,055","16,932","2,526","70","335,121","335,121","27,786","35,011","48,801","52,957","58,077","53,397","37,709","14,871","5,956","549","7","319,998","319,998","26,424","32,873","42,983","46,226","53,737","51,086","36,469","17,184","10,976","1,977","63"
"충청남도 천안시 동남구 (4413100000)","254,647","254,647","17,411","25,598","33,710","30,920","41,399","43,282","35,724","16,411","8,796","1,360","36","129,018","129,018","8,948","13,239","17,934","16,469","21,269","22,029","17,988","7,678","3,163","297","4","125,629","125,629","8,463","12,359","15,776","14,451","20,130","21,253","17,736","8,733","5,633","1,063","32"
"충청남도 천안시 서북구 (4413300000)","400,472","400,472","36,799","42,286","58,074","68,263","70,415","61,201","38,454","15,644","8,136","1,166","34","206,103","206,103","18,838","21,772","30,867","36,488","36,808","31,368","19,721","7,193","2,793","252","3","194,369","194,369","17,961","20,514","27,207","31,775","33,607","29,833","18,733","8,451","5,343","914","31"
"충청남도 공주시 (4415000000)","102,243","102,243","4,832","7,965","10,859","8,530","12,395","17,235","20,055","11,409","7,674","1,255","34","51,039","51,039","2,499","4,138","5,860","4,619","6,499","8,895","10,074","5,421","2,713","317","4","51,204","51,204","2,333","3,827","4,999","3,911","5,896","8,340","9,981","5,988","4,961","938","30"
"충청남도 보령시 (4418000000)","96,931","96,931","5,189","7,820","8,578","8,409","12,881","16,265","18,412","11,405","6,901","1,046","25","49,097","49,097","2,622","4,037","4,969","4,603","7,040","8,724","9,183","5,196","2,499","221","3","47,834","47,834","2,567","3,783","3,609","3,806","5,841","7,541","9,229","6,209","4,402","825","22"
"충청남도 아산시 (4420000000)","333,460","333,460","30,888","37,281","37,529","48,506","60,880","49,888","37,178","18,875","10,797","1,603","35","173,662","173,662","15,959","19,159","21,009","25,900","32,852","27,101","18,890","8,538","3,883","367","4","159,798","159,798","14,929","18,122","16,520","22,606","28,028","22,787","18,288","10,337","6,914","1,236","31"
"충청남도 서산시 (4421000000)","175,970","175,970","13,770","17,155","18,261","20,843","27,500","28,837","24,838","14,154","9,038","1,529","45","91,746","91,746","6,977","9,040","11,027","11,701","14,630","15,428","12,532","6,834","3,228","345","4","84,224","84,224","6,793","8,115","7,234","9,142","12,870","13,409","12,306","7,320","5,810","1,184","41"
"충청남도 논산시 (4423000000)","112,328","112,328","6,141","9,158","10,204","9,826","14,034","18,727","21,440","12,705","8,654","1,404","35","56,058","56,058","3,126","4,693","5,749","5,241","7,445","9,866","10,866","5,794","2,935","335","8","56,270","56,270","3,015","4,465","4,455","4,585","6,589","8,861","10,574","6,911","5,719","1,069","27"
"충청남도 계룡시 (4425000000)","44,351","44,351","3,661","6,279","4,743","4,856","8,313","7,512","5,283","2,304","1,202","193","5","22,104","22,104","1,825","3,303","2,659","2,509","3,994","3,772","2,516","1,094","389","42","1","22,247","22,247","1,836","2,976","2,084","2,347","4,319","3,740","2,767","1,210","813","151","4"
"충청남도 당진시 (4427000000)","167,781","167,781","13,645","16,142","15,211","20,787","27,637","26,840","23,882","13,461","8,836","1,303","37","89,310","89,310","6,902","8,449","8,886","11,932","15,509","15,194","12,427","6,480","3,202","328","1","78,471","78,471","6,743","7,693","6,325","8,855","12,128","11,646","11,455","6,981","5,634","975","36"
"충청남도 금산군 (4471000000)","49,949","49,949","2,059","4,074","3,496","3,165","5,664","8,714","10,735","6,719","4,647","658","18","25,226","25,226","1,026","2,149","2,019","1,683","3,086","4,801","5,580","3,131","1,578","171","2","24,723","24,723","1,033","1,925","1,477","1,482","2,578","3,913","5,155","3,588","3,069","487","16"
"충청남도 부여군 (4476000000)","62,215","62,215","2,411","4,270","4,660","3,808","6,409","9,839","13,783","9,149","6,725","1,135","26","30,896","30,896","1,287","2,251","2,677","2,051","3,484","5,208","6,997","4,259","2,387","292","3","31,319","31,319","1,124","2,019","1,983","1,757","2,925","4,631","6,786","4,890","4,338","843","23"
"충청남도 서천군 (4477000000)","49,821","49,821","2,000","3,169","3,424","2,970","5,170","7,926","10,721","7,857","5,593","972","19","24,618","24,618","1,013","1,613","1,998","1,638","2,821","4,329","5,355","3,610","1,998","241","2","25,203","25,203","987","1,556","1,426","1,332","2,349","3,597","5,366","4,247","3,595","731","17"
"충청남도 청양군 (4479000000)","30,186","30,186","1,075","1,961","2,436","1,865","2,824","4,867","6,763","4,362","3,465","561","7","15,382","15,382","553","1,037","1,425","1,038","1,639","2,741","3,498","2,075","1,222","153","1","14,804","14,804","522","924","1,011","827","1,185","2,126","3,265","2,287","2,243","408","6"
"충청남도 홍성군 (4480000000)","97,821","97,821","6,715","9,430","8,858","9,520","13,738","15,510","16,094","10,001","6,870","1,057","28","48,687","48,687","3,495","4,854","4,876","4,953","6,996","8,265","7,993","4,589","2,404","259","3","49,134","49,134","3,220","4,576","3,982","4,567","6,742","7,245","8,101","5,412","4,466","798","25"
"충청남도 예산군 (4481000000)","77,137","77,137","3,274","5,419","6,133","5,907","8,960","12,779","16,085","10,246","7,263","1,042","29","38,713","38,713","1,681","2,805","3,497","3,272","4,819","6,924","8,070","4,751","2,648","243","3","38,424","38,424","1,593","2,614","2,636","2,635","4,141","5,855","8,015","5,495","4,615","799","26"
"충청남도 태안군 (4482500000)","61,145","61,145","2,579","4,145","4,458","4,330","7,265","10,369","13,150","8,957","5,054","821","17","30,890","30,890","1,313","2,128","2,641","2,421","4,033","5,626","6,422","4,322","1,792","188","4","30,255","30,255","1,266","2,017","1,817","1,909","3,232","4,743","6,728","4,635","3,262","633","13"
"전라북도  (4500000000)","1,764,352","1,764,352","110,373","167,413","197,832","175,872","252,384","296,543","276,196","168,305","103,478","15,508","448","877,631","877,631","56,473","86,482","107,380","91,145","129,193","154,144","137,375","76,525","35,470","3,384","60","886,721","886,721","53,900","80,931","90,452","84,727","123,191","142,399","138,821","91,780","68,008","12,124","388"
"전라북도 전주시 (4511000000)","649,705","649,705","47,689","69,325","88,756","78,801","102,513","107,461","83,580","45,393","22,910","3,178","99","319,209","319,209","24,373","35,722","46,694","40,192","50,065","52,907","39,594","20,383","8,513","757","9","330,496","330,496","23,316","33,603","42,062","38,609","52,448","54,554","43,986","25,010","14,397","2,421","90"
"전라북도 전주시 완산구 (4511100000)","331,562","331,562","21,519","33,739","46,546","38,307","49,840","57,109","45,641","24,725","12,287","1,786","63","161,250","161,250","11,070","17,539","24,230","19,535","23,890","27,564","21,371","11,133","4,489","424","5","170,312","170,312","10,449","16,200","22,316","18,772","25,950","29,545","24,270","13,592","7,798","1,362","58"
"전라북도 전주시 덕진구 (4511300000)","318,143","318,143","26,170","35,586","42,210","40,494","52,673","50,352","37,939","20,668","10,623","1,392","36","157,959","157,959","13,303","18,183","22,464","20,657","26,175","25,343","18,223","9,250","4,024","333","4","160,184","160,184","12,867","17,403","19,746","19,837","26,498","25,009","19,716","11,418","6,599","1,059","32"
"전라북도 전주시효자출장소 (4511800000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"전라북도 군산시 (4513000000)","261,569","261,569","17,902","25,831","27,652","27,273","41,692","44,225","40,059","23,479","11,614","1,800","42","132,395","132,395","9,071","13,313","15,356","14,354","21,729","23,383","19,839","10,878","4,109","357","6","129,174","129,174","8,831","12,518","12,296","12,919","19,963","20,842","20,220","12,601","7,505","1,443","36"
"전라북도 익산시 (4514000000)","272,641","272,641","15,949","26,382","33,310","26,345","38,617","47,656","43,483","24,621","14,026","2,203","49","135,741","135,741","8,183","13,483","18,169","13,795","19,718","24,261","21,615","11,278","4,757","476","6","136,900","136,900","7,766","12,899","15,141","12,550","18,899","23,395","21,868","13,343","9,269","1,727","43"
"전라북도 익산시함열출장소 (4514500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"전라북도 정읍시 (4518000000)","104,720","104,720","5,310","8,923","9,785","8,061","13,448","17,947","18,188","12,553","9,092","1,374","39","52,097","52,097","2,715","4,700","5,485","4,309","7,057","9,661","9,224","5,617","3,052","271","6","52,623","52,623","2,595","4,223","4,300","3,752","6,391","8,286","8,964","6,936","6,040","1,103","33"
"전라북도 남원시 (4519000000)","77,782","77,782","4,177","6,816","6,746","5,784","9,616","13,354","13,871","9,430","6,912","1,036","40","38,148","38,148","2,189","3,548","3,739","2,983","4,842","7,155","7,030","4,181","2,242","229","10","39,634","39,634","1,988","3,268","3,007","2,801","4,774","6,199","6,841","5,249","4,670","807","30"
"전라북도 김제시 (4521000000)","81,259","81,259","3,689","5,972","7,006","6,154","9,398","13,217","15,599","10,890","7,937","1,360","37","40,362","40,362","1,908","3,037","3,933","3,211","5,215","7,345","7,951","4,878","2,570","306","8","40,897","40,897","1,781","2,935","3,073","2,943","4,183","5,872","7,648","6,012","5,367","1,054","29"
"전라북도 완주군 (4571000000)","92,234","92,234","6,034","8,328","8,692","9,095","13,260","15,282","15,556","9,131","5,920","912","24","47,427","47,427","3,016","4,379","4,835","4,739","7,178","8,471","8,217","4,383","2,021","184","4","44,807","44,807","3,018","3,949","3,857","4,356","6,082","6,811","7,339","4,748","3,899","728","20"
"전라북도 진안군 (4572000000)","24,499","24,499","985","1,568","1,676","1,406","2,339","4,283","5,429","3,634","2,751","415","13","12,472","12,472","498","816","976","689","1,342","2,432","2,941","1,759","931","86","2","12,027","12,027","487","752","700","717","997","1,851","2,488","1,875","1,820","329","11"
"전라북도 무주군 (4573000000)","23,455","23,455","953","1,745","1,587","1,503","2,635","3,991","4,861","3,181","2,610","371","18","11,711","11,711","506","880","895","822","1,447","2,220","2,572","1,393","888","87","1","11,744","11,744","447","865","692","681","1,188","1,771","2,289","1,788","1,722","284","17"
"전라북도 장수군 (4574000000)","21,314","21,314","929","1,587","1,459","1,301","2,288","3,524","4,452","3,063","2,366","332","13","10,702","10,702","485","807","868","673","1,292","1,975","2,326","1,436","746","93","1","10,612","10,612","444","780","591","628","996","1,549","2,126","1,627","1,620","239","12"
"전라북도 임실군 (4575000000)","26,436","26,436","1,233","1,525","1,783","1,743","2,494","4,365","5,470","4,002","3,300","506","15","13,549","13,549","641","806","1,053","918","1,509","2,509","3,017","1,868","1,101","124","3","12,887","12,887","592","719","730","825","985","1,856","2,453","2,134","2,199","382","12"
"전라북도 순창군 (4577000000)","26,676","26,676","1,151","2,109","1,894","1,641","3,002","4,365","5,257","3,748","3,064","434","11","13,109","13,109","593","1,083","1,082","837","1,640","2,412","2,761","1,623","959","118","1","13,567","13,567","558","1,026","812","804","1,362","1,953","2,496","2,125","2,105","316","10"
"전라북도 고창군 (4579000000)","52,188","52,188","2,246","3,881","3,724","3,371","5,500","8,576","10,304","7,769","5,876","908","33","25,918","25,918","1,185","2,123","2,133","1,802","3,097","4,805","5,185","3,513","1,897","177","1","26,270","26,270","1,061","1,758","1,591","1,569","2,403","3,771","5,119","4,256","3,979","731","32"
"전라북도 부안군 (4580000000)","49,874","49,874","2,126","3,421","3,762","3,394","5,582","8,297","10,087","7,411","5,100","679","15","24,791","24,791","1,110","1,785","2,162","1,821","3,062","4,608","5,103","3,335","1,684","119","2","25,083","25,083","1,016","1,636","1,600","1,573","2,520","3,689","4,984","4,076","3,416","560","13"
"전라남도  (4600000000)","1,813,529","1,813,529","114,850","161,466","185,629","171,774","246,553","310,162","293,144","188,519","122,744","18,155","533","912,775","912,775","58,727","83,214","103,912","90,214","131,068","167,059","149,475","85,668","39,748","3,637","53","900,754","900,754","56,123","78,252","81,717","81,560","115,485","143,103","143,669","102,851","82,996","14,518","480"
"전라남도 목포시 (4611000000)","216,318","216,318","14,837","23,791","25,393","22,471","35,424","36,323","30,441","18,162","8,397","1,054","25","107,445","107,445","7,670","12,148","13,734","11,481","18,250","18,455","14,451","8,101","2,930","223","2","108,873","108,873","7,167","11,643","11,659","10,990","17,174","17,868","15,990","10,061","5,467","831","23"
